"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","1/36","330/29008",0.337768206827693,0.371321339956272,0.275488882529384,"Blm",1
"GO:0009100","BP","GO:0009100","glycoprotein metabolic process","1/36","331/29008",0.33859951809606,0.371742857168954,0.275801612484259,"Ddost",1
"GO:0008544","BP","GO:0008544","epidermis development","1/36","333/29008",0.340259098013782,0.372579223418785,0.276422125174368,"Igf1r",1
"GO:0051321","BP","GO:0051321","meiotic cell cycle","1/36","333/29008",0.340259098013782,0.372579223418785,0.276422125174368,"Igf1r",1
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","1/36","334/29008",0.341087369067715,0.372994092656394,0.276729922896627,"Blm",1
"GO:0032386","BP","GO:0032386","regulation of intracellular transport","1/36","335/29008",0.341914629119105,0.373406766011654,0.277036091460771,"Derl2",1
"GO:0045787","BP","GO:0045787","positive regulation of cell cycle","1/36","336/29008",0.342740879366784,0.373817253448661,0.277340638259311,"Igf1r",1
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","1/36","337/29008",0.343566121008204,0.374225564877703,0.27764357064484,"Nono",1
"GO:0007059","BP","GO:0007059","chromosome segregation","1/36","338/29008",0.344390355239438,0.374631710155614,0.277944895930291,"Chmp4c",1
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","1/36","341/29008",0.346857025412112,0.376328537375232,0.279203797545353,"Srgap1",1
"GO:0060271","BP","GO:0060271","cilium assembly","1/36","341/29008",0.346857025412112,0.376328537375232,0.279203797545353,"Cep135",1
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","1/36","342/29008",0.347677241935821,0.376725993220276,0.27949867600997,"Casp4",1
"GO:0042886","BP","GO:0042886","amide transport","1/36","343/29008",0.348496457009089,0.377023637984909,0.279719503134016,"Aacs",1
"GO:0006066","BP","GO:0006066","alcohol metabolic process","1/36","344/29008",0.349314671819753,0.377023637984909,0.279719503134016,"Ebp",1
"GO:0042063","BP","GO:0042063","gliogenesis","1/36","344/29008",0.349314671819753,0.377023637984909,0.279719503134016,"Sox5",1
"GO:0016311","BP","GO:0016311","dephosphorylation","1/36","345/29008",0.35013188755428,0.377414891779289,0.280009780204038,"Tsc1",1
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity","1/36","349/29008",0.353390783412614,0.380433657889066,0.282249448148514,"Blm",1
"GO:0070661","BP","GO:0070661","leukocyte proliferation","1/36","358/29008",0.36066531353836,0.3877619303586,0.287686403626862,"Blm",1
"GO:0006644","BP","GO:0006644","phospholipid metabolic process","1/36","360/29008",0.362271037067394,0.388984425311691,0.288593391004869,"Cept1",1
"GO:1903532","BP","GO:1903532","positive regulation of secretion by cell","1/36","361/29008",0.363072427833436,0.389341233981591,0.28885811271938,"Aacs",1
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","1/36","363/29008",0.364672273185836,0.390552240960315,0.289756576996556,"Asxl1",1
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","1/36","366/29008",0.367064718176842,0.392607881555127,0.291281687647114,"Tsc1",1
"GO:0046879","BP","GO:0046879","hormone secretion","1/36","367/29008",0.367860251664225,0.392952392382634,0.291537285407535,"Aacs",1
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","1/36","368/29008",0.368654812990299,0.393294980439522,0.291791456635536,"Tsc1",1
"GO:0051346","BP","GO:0051346","negative regulation of hydrolase activity","1/36","374/29008",0.373401830095962,0.397157779261753,0.294657325133958,"Tsc1",1
"GO:0009914","BP","GO:0009914","hormone transport","1/36","375/29008",0.374189618533363,0.397157779261753,0.294657325133958,"Aacs",1
"GO:0018205","BP","GO:0018205","peptidyl-lysine modification","1/36","375/29008",0.374189618533363,0.397157779261753,0.294657325133958,"Hat1",1
"GO:0044782","BP","GO:0044782","cilium organization","1/36","375/29008",0.374189618533363,0.397157779261753,0.294657325133958,"Cep135",1
"GO:0046486","BP","GO:0046486","glycerolipid metabolic process","1/36","377/29008",0.375762307654736,0.398317644129541,0.295517846310439,"Cept1",1
"GO:0019216","BP","GO:0019216","regulation of lipid metabolic process","1/36","379/29008",0.377331154054979,0.399470481971471,0.296373154030831,"Igf1r",1
"GO:0034655","BP","GO:0034655","nucleobase-containing compound catabolic process","1/36","386/29008",0.382791986532046,0.404735476205857,0.300279332378474,"Rnaseh1",1
"GO:1902903","BP","GO:1902903","regulation of supramolecular fiber organization","1/36","388/29008",0.384343653265302,0.40585907405878,0.301112946511587,"Tsc1",1
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","1/36","389/29008",0.385118063764339,0.406160092661247,0.301336276736626,"Psmd14",1
"GO:0006417","BP","GO:0006417","regulation of translation","1/36","390/29008",0.385891527187397,0.406459349702461,0.301558300032898,"Tsc1",1
"GO:0009306","BP","GO:0009306","protein secretion","1/36","393/29008",0.388206246246068,0.408154265564355,0.302815783582939,"Aacs",1
"GO:0035592","BP","GO:0035592","establishment of protein localization to extracellular region","1/36","394/29008",0.388975932604102,0.408154265564355,0.302815783582939,"Aacs",1
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis","1/36","394/29008",0.388975932604102,0.408154265564355,0.302815783582939,"Tsc1",1
"GO:0051098","BP","GO:0051098","regulation of binding","1/36","397/29008",0.391279347373715,0.409820627086992,0.304052082239557,"Blm",1
"GO:0008380","BP","GO:0008380","RNA splicing","1/36","398/29008",0.392045274586833,0.409820627086992,0.304052082239557,"Nono",1
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis","1/36","398/29008",0.392045274586833,0.409820627086992,0.304052082239557,"Sox12",1
"GO:0030900","BP","GO:0030900","forebrain development","1/36","400/29008",0.393574319138957,0.410901490421804,0.304853990991446,"Tsc1",1
"GO:0071692","BP","GO:0071692","protein localization to extracellular region","1/36","401/29008",0.394337438703799,0.410943218578886,0.304884949738299,"Aacs",1
"GO:0022411","BP","GO:0022411","cellular component disassembly","1/36","402/29008",0.39509962460958,0.410943218578886,0.304884949738299,"Igf1r",1
"GO:2001233","BP","GO:2001233","regulation of apoptotic signaling pathway","1/36","402/29008",0.39509962460958,0.410943218578886,0.304884949738299,"Nono",1
"GO:0048638","BP","GO:0048638","regulation of developmental growth","1/36","406/29008",0.398139053817124,0.413586251149202,0.306845855323124,"Igf1r",1
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","1/36","412/29008",0.402670375922973,0.417770515020084,0.309950223572288,"Tsc1",1
"GO:0044270","BP","GO:0044270","cellular nitrogen compound catabolic process","1/36","414/29008",0.404173432728524,0.418018125268808,0.310133929337036,"Rnaseh1",1
"GO:0046700","BP","GO:0046700","heterocycle catabolic process","1/36","415/29008",0.404923581585689,0.418018125268808,0.310133929337036,"Rnaseh1",1
"GO:0051047","BP","GO:0051047","positive regulation of secretion","1/36","415/29008",0.404923581585689,0.418018125268808,0.310133929337036,"Aacs",1
"GO:0051656","BP","GO:0051656","establishment of organelle localization","1/36","415/29008",0.404923581585689,0.418018125268808,0.310133929337036,"Chmp4c",1
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","1/36","416/29008",0.405672812203775,0.418271346744264,0.310321798155225,"Tsc1",1
"GO:0032535","BP","GO:0032535","regulation of cellular component size","1/36","417/29008",0.406421125674698,0.418522995421836,0.310508500091026,"Tsc1",1
"GO:0031331","BP","GO:0031331","positive regulation of cellular catabolic process","1/36","425/29008",0.412374746759239,0.423602772042287,0.314277262707341,"Tsc1",1
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","1/36","425/29008",0.412374746759239,0.423602772042287,0.314277262707341,"Igf1r",1
"GO:0042692","BP","GO:0042692","muscle cell differentiation","1/36","428/29008",0.414592353172123,0.425354330201313,0.315576770028875,"Tsc1",1
"GO:0009314","BP","GO:0009314","response to radiation","1/36","430/29008",0.41606623494028,0.426339475309176,0.316307663989687,"Blm",1
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity","1/36","435/29008",0.41973517325937,0.429379397456012,0.318563027916001,"Igf1r",1
"GO:0006914","BP","GO:0006914","autophagy","1/36","437/29008",0.421196464630883,0.429379397456012,0.318563027916001,"Tsc1",1
"GO:0019439","BP","GO:0019439","aromatic compound catabolic process","1/36","437/29008",0.421196464630883,0.429379397456012,0.318563027916001,"Rnaseh1",1
"GO:0061919","BP","GO:0061919","process utilizing autophagic mechanism","1/36","437/29008",0.421196464630883,0.429379397456012,0.318563027916001,"Tsc1",1
"GO:0002253","BP","GO:0002253","activation of immune response","1/36","439/29008",0.422654177977785,0.429379397456012,0.318563027916001,"Nono",1
"GO:0006631","BP","GO:0006631","fatty acid metabolic process","1/36","439/29008",0.422654177977785,0.429379397456012,0.318563027916001,"Aacs",1
"GO:0034329","BP","GO:0034329","cell junction assembly","1/36","439/29008",0.422654177977785,0.429379397456012,0.318563027916001,"Tsc1",1
"GO:0034248","BP","GO:0034248","regulation of cellular amide metabolic process","1/36","448/29008",0.42916983773045,0.435465727770505,0.323078567844953,"Tsc1",1
"GO:0001558","BP","GO:0001558","regulation of cell growth","1/36","450/29008",0.430608023553908,0.436391525701763,0.32376543124354,"Derl2",1
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","1/36","451/29008",0.431325794796714,0.436585865464967,0.323909614834503,"Dnajb11",1
"GO:0014706","BP","GO:0014706","striated muscle tissue development","1/36","461/29008",0.43845529537958,0.44326174806949,0.328862552467536,"Tsc1",1
"GO:1901361","BP","GO:1901361","organic cyclic compound catabolic process","1/36","463/29008",0.439870730716095,0.444151711063697,0.329522829387778,"Rnaseh1",1
"GO:0006397","BP","GO:0006397","mRNA processing","1/36","469/29008",0.444096256347496,0.447873502756284,0.332284082577586,"Nono",1
"GO:0090407","BP","GO:0090407","organophosphate biosynthetic process","1/36","476/29008",0.448986874105886,0.452256196004715,0.335535668564056,"Cept1",1
"GO:0048608","BP","GO:0048608","reproductive structure development","1/36","480/29008",0.451762704802089,0.454500660588768,0.33720087056998,"Igf1r",1
"GO:0061458","BP","GO:0061458","reproductive system development","1/36","484/29008",0.454524938271248,0.456726027560697,0.33885190377046,"Igf1r",1
"GO:0060537","BP","GO:0060537","muscle tissue development","1/36","486/29008",0.455900976279628,0.457554788769155,0.339466774166082,"Tsc1",1
"GO:0007409","BP","GO:0007409","axonogenesis","1/36","487/29008",0.45658772913195,0.457690598042897,0.339567533107286,"Igf1r",1
"GO:0009896","BP","GO:0009896","positive regulation of catabolic process","1/36","494/29008",0.461371458007661,0.461927997764003,0.342711323642285,"Tsc1",1
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","1/36","500/29008",0.465439189625039,0.465439189625039,0.345316329652058,"Casp4",1
"GO:0101031","CC","GO:0101031","chaperone complex","3/38","28/28886",6.72583858578148e-06,0.000618777149891896,0.000467268785959555,"Dnajb11/Tsc1/Cct7",3
"GO:0036452","CC","GO:0036452","ESCRT complex","2/38","25/28886",0.000495964648239867,0.0205345681645273,0.0155066533050206,"Chmp4c/Vps37b",2
"GO:0140534","CC","GO:0140534","endoplasmic reticulum protein-containing complex","3/38","130/28886",0.00066960548362589,0.0205345681645273,0.0155066533050206,"Dnajb11/Ddost/Derl2",3
"GO:0016363","CC","GO:0016363","nuclear matrix","2/38","89/28886",0.00613997879960403,0.120900925336241,0.0912981816040262,"Blm/Nono",2
"GO:0034399","CC","GO:0034399","nuclear periphery","2/38","115/28886",0.0100596955563972,0.120900925336241,0.0912981816040262,"Blm/Nono",2
"GO:0000813","CC","GO:0000813","ESCRT I complex","1/38","10/28886",0.0130795836900086,0.120900925336241,0.0912981816040262,"Vps37b",1
"GO:0000815","CC","GO:0000815","ESCRT III complex","1/38","10/28886",0.0130795836900086,0.120900925336241,0.0912981816040262,"Chmp4c",1
"GO:0005832","CC","GO:0005832","chaperonin-containing T-complex","1/38","10/28886",0.0130795836900086,0.120900925336241,0.0912981816040262,"Cct7",1
"GO:0098992","CC","GO:0098992","neuronal dense core vesicle","1/38","10/28886",0.0130795836900086,0.120900925336241,0.0912981816040262,"Dmxl2",1
"GO:0034663","CC","GO:0034663","endoplasmic reticulum chaperone complex","1/38","12/28886",0.0156754382362875,0.120900925336241,0.0912981816040262,"Dnajb11",1
"GO:0002199","CC","GO:0002199","zona pellucida receptor complex","1/38","13/28886",0.0169708712676315,0.120900925336241,0.0912981816040262,"Cct7",1
"GO:0008250","CC","GO:0008250","oligosaccharyltransferase complex","1/38","13/28886",0.0169708712676315,0.120900925336241,0.0912981816040262,"Ddost",1
"GO:0030176","CC","GO:0030176","integral component of endoplasmic reticulum membrane","2/38","152/28886",0.0170838264062079,0.120900925336241,0.0912981816040262,"Slc35b1/Derl2",2
"GO:0031227","CC","GO:0031227","intrinsic component of endoplasmic reticulum membrane","2/38","160/28886",0.018811750367959,0.123620073846587,0.0933515431793452,"Slc35b1/Derl2",2
"GO:0000153","CC","GO:0000153","cytoplasmic ubiquitin ligase complex","1/38","16/28886",0.0208472182559605,0.124761362169074,0.0942133856196668,"Derl2",1
"GO:0030496","CC","GO:0030496","midbody","2/38","183/28886",0.0241681962262967,0.124761362169074,0.0942133856196668,"Chmp4c/Vps37b",2
"GO:0000800","CC","GO:0000800","lateral element","1/38","20/28886",0.0259925364397701,0.124761362169074,0.0942133856196668,"Blm",1
"GO:0061702","CC","GO:0061702","inflammasome complex","1/38","21/28886",0.0272747467777208,0.124761362169074,0.0942133856196668,"Casp4",1
"GO:0001673","CC","GO:0001673","male germ cell nucleus","1/38","23/28886",0.0298342387795612,0.124761362169074,0.0942133856196668,"Blm",1
"GO:0005838","CC","GO:0005838","proteasome regulatory particle","1/38","23/28886",0.0298342387795612,0.124761362169074,0.0942133856196668,"Psmd14",1
"GO:0045120","CC","GO:0045120","pronucleus","1/38","23/28886",0.0298342387795612,0.124761362169074,0.0942133856196668,"Blm",1
"GO:0090543","CC","GO:0090543","Flemming body","1/38","23/28886",0.0298342387795612,0.124761362169074,0.0942133856196668,"Chmp4c",1
"GO:0022624","CC","GO:0022624","proteasome accessory complex","1/38","25/28886",0.0323871728696473,0.129548691478589,0.0978285313225045,"Psmd14",1
"GO:0031045","CC","GO:0031045","dense core granule","1/38","31/28886",0.0400067909677204,0.142702502328435,0.107761615030626,"Dmxl2",1
"GO:0043073","CC","GO:0043073","germ cell nucleus","1/38","31/28886",0.0400067909677204,0.142702502328435,0.107761615030626,"Blm",1
"GO:0005770","CC","GO:0005770","late endosome","2/38","242/28886",0.0403289680493403,0.142702502328435,0.107761615030626,"Derl2/Chmp4c",2
"GO:0010008","CC","GO:0010008","endosome membrane","2/38","275/28886",0.0507228639491334,0.172833462345195,0.130514971565022,"Chmp4c/Vps37b",2
"GO:0031463","CC","GO:0031463","Cul3-RING ubiquitin ligase complex","1/38","44/28886",0.0563160806789621,0.185038550802304,0.139731628752312,"Tnfaip1",1
"GO:0031519","CC","GO:0031519","PcG protein complex","1/38","50/28886",0.0637521465412952,0.202248189027557,0.152727465398384,"Asxl1",1
"GO:0030173","CC","GO:0030173","integral component of Golgi membrane","1/38","52/28886",0.0662181329902549,0.203068941170115,0.153347255345854,"Slc35b1",1
"GO:0031228","CC","GO:0031228","intrinsic component of Golgi membrane","1/38","54/28886",0.0686777947560785,0.203817971534168,0.153912884682553,"Slc35b1",1
"GO:0000151","CC","GO:0000151","ubiquitin ligase complex","2/38","338/28886",0.0728606554006141,0.207894726780337,0.15699144127577,"Derl2/Tnfaip1",2
"GO:0031301","CC","GO:0031301","integral component of organelle membrane","2/38","346/28886",0.07586384313717,0.207894726780337,0.15699144127577,"Slc35b1/Derl2",2
"GO:0000502","CC","GO:0000502","proteasome complex","1/38","64/28886",0.0808817844404263,0.207894726780337,0.15699144127577,"Psmd14",1
"GO:0005771","CC","GO:0005771","multivesicular body","1/38","66/28886",0.083303828234623,0.207894726780337,0.15699144127577,"Chmp4c",1
"GO:0031300","CC","GO:0031300","intrinsic component of organelle membrane","2/38","366/28886",0.0835421048259356,0.207894726780337,0.15699144127577,"Slc35b1/Derl2",2
"GO:0005657","CC","GO:0005657","replication fork","1/38","67/28886",0.0845125185374368,0.207894726780337,0.15699144127577,"Blm",1
"GO:0030315","CC","GO:0030315","T-tubule","1/38","69/28886",0.0869252456590216,0.207894726780337,0.15699144127577,"Igf1r",1
"GO:1905369","CC","GO:1905369","endopeptidase complex","1/38","70/28886",0.0881292863525344,0.207894726780337,0.15699144127577,"Psmd14",1
"GO:0016605","CC","GO:0016605","PML body","1/38","76/28886",0.0953211320559091,0.219238603728591,0.165557755676053,"Blm",1
"GO:0005874","CC","GO:0005874","microtubule","2/38","427/28886",0.108311133749181,0.243039617193284,0.183531061038407,"Tubd1/Cct7",2
"GO:0000795","CC","GO:0000795","synaptonemal complex","1/38","96/28886",0.118897307417037,0.247844904552081,0.187159767739557,"Blm",1
"GO:0005901","CC","GO:0005901","caveola","1/38","96/28886",0.118897307417037,0.247844904552081,0.187159767739557,"Igf1r",1
"GO:0099086","CC","GO:0099086","synaptonemal structure","1/38","96/28886",0.118897307417037,0.247844904552081,0.187159767739557,"Blm",1
"GO:1902911","CC","GO:1902911","protein kinase complex","1/38","101/28886",0.124697228764196,0.247844904552081,0.187159767739557,"Igf1r",1
"GO:1905368","CC","GO:1905368","peptidase complex","1/38","102/28886",0.125852743973749,0.247844904552081,0.187159767739557,"Psmd14",1
"GO:0005667","CC","GO:0005667","transcription regulator complex","2/38","475/28886",0.129013483553373,0.247844904552081,0.187159767739557,"Sox5/Nono",2
"GO:0005811","CC","GO:0005811","lipid droplet","1/38","105/28886",0.129310384983694,0.247844904552081,0.187159767739557,"Tsc1",1
"GO:0000781","CC","GO:0000781","chromosome, telomeric region","1/38","111/28886",0.136185762962172,0.255695718214691,0.193088299795991,"Blm",1
"GO:0005814","CC","GO:0005814","centriole","1/38","125/28886",0.152023375846896,0.276877955481405,0.209084039608383,"Cep135",1
"GO:0000794","CC","GO:0000794","condensed nuclear chromosome","1/38","129/28886",0.156496235706881,0.276877955481405,0.209084039608383,"Blm",1
"GO:0005884","CC","GO:0005884","actin filament","1/38","129/28886",0.156496235706881,0.276877955481405,0.209084039608383,"Tsc1",1
"GO:0044853","CC","GO:0044853","plasma membrane raft","1/38","135/28886",0.163162482327681,0.283225441021635,0.213877335325262,"Igf1r",1
"GO:0001650","CC","GO:0001650","fibrillar center","1/38","142/28886",0.170874949591761,0.291120284489666,0.219839116433844,"Nono",1
"GO:0072686","CC","GO:0072686","mitotic spindle","1/38","161/28886",0.191461573106244,0.314324656888876,0.23736186904652,"Neil2",1
"GO:0032993","CC","GO:0032993","protein-DNA complex","1/38","163/28886",0.193599409263188,0.314324656888876,0.23736186904652,"Sox12",1
"GO:0042383","CC","GO:0042383","sarcolemma","1/38","165/28886",0.195731741190768,0.314324656888876,0.23736186904652,"Igf1r",1
"GO:0090575","CC","GO:0090575","RNA polymerase II transcription regulator complex","1/38","172/28886",0.203151755914584,0.314324656888876,0.23736186904652,"Nono",1
"GO:0030027","CC","GO:0030027","lamellipodium","1/38","175/28886",0.206311318847968,0.314324656888876,0.23736186904652,"Tsc1",1
"GO:0009898","CC","GO:0009898","cytoplasmic side of plasma membrane","1/38","177/28886",0.208410913806755,0.314324656888876,0.23736186904652,"Chmp4c",1
"GO:0098802","CC","GO:0098802","plasma membrane signaling receptor complex","1/38","177/28886",0.208410913806755,0.314324656888876,0.23736186904652,"Igf1r",1
"GO:0098562","CC","GO:0098562","cytoplasmic side of membrane","1/38","194/28886",0.226040469507514,0.33492369420905,0.252917206153287,"Chmp4c",1
"GO:0030426","CC","GO:0030426","growth cone","1/38","201/28886",0.233188051222021,0.33492369420905,0.252917206153287,"Tsc1",1
"GO:0008021","CC","GO:0008021","synaptic vesicle","1/38","205/28886",0.237243483835271,0.33492369420905,0.252917206153287,"Dmxl2",1
"GO:0005681","CC","GO:0005681","spliceosomal complex","1/38","206/28886",0.238254074387004,0.33492369420905,0.252917206153287,"Dqx1",1
"GO:0030427","CC","GO:0030427","site of polarized growth","1/38","208/28886",0.240271345845623,0.33492369420905,0.252917206153287,"Tsc1",1
"GO:0031461","CC","GO:0031461","cullin-RING ubiquitin ligase complex","1/38","221/28886",0.253257394264007,0.347756421974457,0.262607824374304,"Tnfaip1",1
"GO:0070382","CC","GO:0070382","exocytic vesicle","1/38","228/28886",0.260160095894819,0.351981306210638,0.265798240387896,"Dmxl2",1
"GO:0061695","CC","GO:0061695","transferase complex, transferring phosphorus-containing groups","1/38","242/28886",0.273779615083128,0.362355435395739,0.273632250985341,"Igf1r",1
"GO:0016323","CC","GO:0016323","basolateral plasma membrane","1/38","244/28886",0.275705222583714,0.362355435395739,0.273632250985341,"Abcc10",1
"GO:0000228","CC","GO:0000228","nuclear chromosome","1/38","258/28886",0.289045961441632,0.374538428910283,0.282832223204562,"Blm",1
"GO:0000139","CC","GO:0000139","Golgi membrane","1/38","267/28886",0.297495483250718,0.380133117487029,0.287057045241921,"Slc35b1",1
"GO:0009925","CC","GO:0009925","basal plasma membrane","1/38","274/28886",0.303999656193948,0.383122854381414,0.289314741294889,"Abcc10",1
"GO:0045178","CC","GO:0045178","basal part of cell","1/38","299/28886",0.326753668782217,0.395739492724742,0.298842179860789,"Abcc10",1
"GO:0000793","CC","GO:0000793","condensed chromosome","1/38","300/28886",0.32764859866595,0.395739492724742,0.298842179860789,"Blm",1
"GO:0098687","CC","GO:0098687","chromosomal region","1/38","301/28886",0.328542370206239,0.395739492724742,0.298842179860789,"Blm",1
"GO:0005938","CC","GO:0005938","cell cortex","1/38","304/28886",0.331216749345708,0.395739492724742,0.298842179860789,"Tsc1",1
"GO:0030133","CC","GO:0030133","transport vesicle","1/38","315/28886",0.340934359405973,0.40212770596602,0.303666231049855,"Dmxl2",1
"GO:0005769","CC","GO:0005769","early endosome","1/38","321/28886",0.346176782460427,0.403142582105814,0.304432613489516,"Derl2",1
"GO:0014069","CC","GO:0014069","postsynaptic density","1/38","328/28886",0.35224163632516,0.403856287261385,0.30497156703949,"Tsc1",1
"GO:0005819","CC","GO:0005819","spindle","1/38","332/28886",0.355682636335146,0.403856287261385,0.30497156703949,"Neil2",1
"GO:0032279","CC","GO:0032279","asymmetric synapse","1/38","337/28886",0.359958864732974,0.403856287261385,0.30497156703949,"Tsc1",1
"GO:0099572","CC","GO:0099572","postsynaptic specialization","1/38","351/28886",0.371785821132013,0.412099946315003,0.311196755798515,"Tsc1",1
"GO:0098984","CC","GO:0098984","neuron to neuron synapse","1/38","359/28886",0.378448255159303,0.414490946126856,0.313002316297168,"Tsc1",1
"GO:0150034","CC","GO:0150034","distal axon","1/38","371/28886",0.388313090235289,0.420291815313489,0.317382835362589,"Tsc1",1
"GO:0045121","CC","GO:0045121","membrane raft","1/38","392/28886",0.405210953079187,0.429337745246454,0.32421385796643,"Igf1r",1
"GO:0098857","CC","GO:0098857","membrane microdomain","1/38","393/28886",0.406004172135234,0.429337745246454,0.32421385796643,"Igf1r",1
"GO:0043235","CC","GO:0043235","receptor complex","1/38","408/28886",0.417779578362608,0.434268150146901,0.327937047021687,"Igf1r",1
"GO:0031252","CC","GO:0031252","cell leading edge","1/38","411/28886",0.420107232207328,0.434268150146901,0.327937047021687,"Tsc1",1
"GO:0005635","CC","GO:0005635","nuclear envelope","1/38","423/28886",0.429327572506721,0.437886747658841,0.33066962637853,"Ebp",1
"GO:0030141","CC","GO:0030141","secretory granule","1/38","428/28886",0.433127109097332,0.437886747658841,0.33066962637853,"Dmxl2",1
"GO:0098793","CC","GO:0098793","presynapse","1/38","489/28886",0.477543777475195,0.477543777475195,0.360616582532756,"Dmxl2",1
"GO:0051787","MF","GO:0051787","misfolded protein binding","2/37","25/28438",0.000484897382834598,0.0654611466826708,0.0418543004130916,"Dnajb11/Derl2",2
"GO:0003684","MF","GO:0003684","damaged DNA binding","2/37","61/28438",0.0028720058637673,0.0944217685384414,0.0603710332955337,"Neil2/Blm",2
"GO:0016887","MF","GO:0016887","ATP hydrolysis activity","3/37","223/28438",0.00303675114607493,0.0944217685384414,0.0603710332955337,"Cct7/Dqx1/Abcc10",3
"GO:0140097","MF","GO:0140097","catalytic activity, acting on DNA","3/37","223/28438",0.00303675114607493,0.0944217685384414,0.0603710332955337,"Neil2/Blm/Dqx1",3
"GO:0003678","MF","GO:0003678","DNA helicase activity","2/37","69/28438",0.00365783344140252,0.0944217685384414,0.0603710332955337,"Blm/Dqx1",2
"GO:0031267","MF","GO:0031267","small GTPase binding","3/37","277/28438",0.00556181666868431,0.0944217685384414,0.0603710332955337,"Dmxl2/Srgap1/Tnfaip1",3
"GO:0051082","MF","GO:0051082","unfolded protein binding","2/37","88/28438",0.00587670662649169,0.0944217685384414,0.0603710332955337,"Dnajb11/Cct7",2
"GO:0051020","MF","GO:0051020","GTPase binding","3/37","313/28438",0.00778159096827328,0.0944217685384414,0.0603710332955337,"Dmxl2/Srgap1/Tnfaip1",3
"GO:0008094","MF","GO:0008094","ATP-dependent activity, acting on DNA","2/37","110/28438",0.00903996725981104,0.0944217685384414,0.0603710332955337,"Blm/Dqx1",2
"GO:0004519","MF","GO:0004519","endonuclease activity","2/37","131/28438",0.0126224749838751,0.0944217685384414,0.0603710332955337,"Neil2/Rnaseh1",2
"GO:0015165","MF","GO:0015165","pyrimidine nucleotide-sugar transmembrane transporter activity","1/37","10/28438",0.0129368832756385,0.0944217685384414,0.0603710332955337,"Slc35b1",1
"GO:0032357","MF","GO:0032357","oxidized purine DNA binding","1/37","10/28438",0.0129368832756385,0.0944217685384414,0.0603710332955337,"Blm",1
"GO:0061578","MF","GO:0061578","Lys63-specific deubiquitinase activity","1/37","10/28438",0.0129368832756385,0.0944217685384414,0.0603710332955337,"Psmd14",1
"GO:1990814","MF","GO:1990814","DNA/DNA annealing activity","1/37","10/28438",0.0129368832756385,0.0944217685384414,0.0603710332955337,"Blm",1
"GO:0032356","MF","GO:0032356","oxidized DNA binding","1/37","11/28438",0.0142215791852629,0.0944217685384414,0.0603710332955337,"Blm",1
"GO:0043560","MF","GO:0043560","insulin receptor substrate binding","1/37","11/28438",0.0142215791852629,0.0944217685384414,0.0603710332955337,"Igf1r",1
"GO:0019104","MF","GO:0019104","DNA N-glycosylase activity","1/37","12/28438",0.0155046481538547,0.0944217685384414,0.0603710332955337,"Neil2",1
"GO:0004386","MF","GO:0004386","helicase activity","2/37","151/28438",0.0165175330878528,0.0944217685384414,0.0603710332955337,"Blm/Dqx1",2
"GO:0003906","MF","GO:0003906","DNA-(apurinic or apyrimidinic site) endonuclease activity","1/37","13/28438",0.0167860921846118,0.0944217685384414,0.0603710332955337,"Neil2",1
"GO:0004769","MF","GO:0004769","steroid delta-isomerase activity","1/37","13/28438",0.0167860921846118,0.0944217685384414,0.0603710332955337,"Ebp",1
"GO:0005338","MF","GO:0005338","nucleotide-sugar transmembrane transporter activity","1/37","13/28438",0.0167860921846118,0.0944217685384414,0.0603710332955337,"Slc35b1",1
"GO:0031994","MF","GO:0031994","insulin-like growth factor I binding","1/37","13/28438",0.0167860921846118,0.0944217685384414,0.0603710332955337,"Igf1r",1
"GO:0050700","MF","GO:0050700","CARD domain binding","1/37","13/28438",0.0167860921846118,0.0944217685384414,0.0603710332955337,"Casp4",1
"GO:0097153","MF","GO:0097153","cysteine-type endopeptidase activity involved in apoptotic process","1/37","13/28438",0.0167860921846118,0.0944217685384414,0.0603710332955337,"Casp4",1
"GO:0010485","MF","GO:0010485","H4 histone acetyltransferase activity","1/37","14/28438",0.018065913278338,0.0958478196189348,0.0612828164425158,"Hat1",1
"GO:0061133","MF","GO:0061133","endopeptidase activator activity","1/37","15/28438",0.0193441134334431,0.0958478196189348,0.0612828164425158,"Psmd14",1
